1179076,Американская история ужасов, Pilot,1,1,187532,77.37,4.535,4358,50 мин.,05.10.2011,129,19638
1210143,Американская история ужасов, Home Invasion,1,2,183936,75.88,4.578,4216,50 мин.,12.10.2011,36,19638
1210144,Американская история ужасов, Murder House,1,3,181833,75.02,4.599,4235,50 мин.,19.10.2011,58,19638
1266587,Американская история ужасов, Halloween Part 1,1,4,179920,74.23,4.643,4209,50 мин.,26.10.2011,54,19638
1266588,Американская история ужасов, Halloween Part 2,1,5,178994,73.84,4.639,4212,50 мин.,02.11.2011,39,19638
1281084,Американская история ужасов," Piggy, Piggy",1,6,177730,73.32,4.622,4263,50 мин.,09.11.2011,52,19638
1281085,Американская история ужасов, Open House,1,7,176665,72.88,4.629,4205,50 мин.,16.11.2011,50,19638
1287052,Американская история ужасов, Rubber Man,1,8,175824,72.54,4.583,4195,50 мин.,23.11.2011,44,19638
1297533,Американская история ужасов, Spooky Little Girl,1,9,174943,72.17,4.617,4178,50 мин.,30.11.2011,42,19638
1299289,Американская история ужасов, Smoldering Children,1,10,174442,71.97,4.679,4312,50 мин.,07.12.2011,81,19638
1306039,Американская история ужасов, Birth,1,11,173952,71.76,4.661,4286,50 мин.,14.12.2011,36,19638
1311376,Американская история ужасов, Afterbirth,1,12,173789,71.7,4.657,4458,50 мин.,21.12.2011,207,19638
1578346,Американская история ужасов, Welcome to Briarcliff,2,1,156728,64.66,4.525,4416,50 мин.,17.10.2012,62,19638
1591126,Американская история ужасов, Tricks and Treats,2,2,153795,63.45,4.565,4189,50 мин.,24.10.2012,57,19638
1626994,Американская история ужасов, Nor'easter,2,3,151821,62.63,4.564,4114,50 мин.,31.10.2012,38,19638
1645384,Американская история ужасов, I Am Anne Frank Part 1,2,4,150155,61.95,4.611,4092,50 мин.,07.11.2012,49,19638
1645385,Американская история ужасов, I Am Anne Frank Part 2,2,5,149105,61.51,4.639,4107,50 мин.,14.11.2012,82,19638
1648410,Американская история ужасов, The Origins of Monstrosity,2,6,147920,61.03,4.585,3993,50 мин.,21.11.2012,27,19638
1652612,Американская история ужасов, Dark Cousin,2,7,146957,60.63,4.587,4001,50 мин.,28.11.2012,27,19638
1656717,Американская история ужасов, Unholy Night,2,8,146108,60.28,4.582,3964,50 мин.,05.12.2012,28,19638
1660718,Американская история ужасов, The Coat Hanger,2,9,145485,60.02,4.587,3940,50 мин.,12.12.2012,38,19638
1672877,Американская история ужасов, The Name Game,2,10,144973,59.81,4.657,4057,50 мин.,02.01.2013,50,19638
1679503,Американская история ужасов, Spilt Milk,2,11,144598,59.65,4.622,3935,50 мин.,09.01.2013,29,19638
1680603,Американская история ужасов, Continuum,2,12,144273,59.52,4.585,3925,50 мин.,16.01.2013,37,19638
1694850,Американская история ужасов, Madness Ends,2,13,144186,59.48,4.671,4251,50 мин.,23.01.2013,160,19638
1882449,Американская история ужасов, Bitchcraft,3,1,143964,59.39,4.624,4338,50 мин.,09.10.2013,97,19638
1882450,Американская история ужасов, Boy Parts,3,2,142850,58.93,4.596,4099,50 мин.,16.10.2013,38,19638
1882451,Американская история ужасов, The Replacements,3,3,141882,58.53,4.595,4014,50 мин.,23.10.2013,58,19638
1891022,Американская история ужасов, Fearful Pranks Ensue,3,4,140811,58.09,4.618,4000,50 мин.,30.10.2013,55,19638
1943911,Американская история ужасов," Burn, Witch. Burn!",3,5,140067,57.79,4.631,3983,50 мин.,06.11.2013,64,19638
1946722,Американская история ужасов, The Axeman Cometh,3,6,139210,57.43,4.579,3929,50 мин.,13.11.2013,24,19638
1950675,Американская история ужасов, The Dead,3,7,138588,57.18,4.584,3889,50 мин.,20.11.2013,55,19638
1971857,Американская история ужасов, The Sacred Taking,3,8,137846,56.87,4.595,3901,50 мин.,04.12.2013,25,19638
1971858,Американская история ужасов, Head,3,9,137327,56.65,4.618,3915,50 мин.,11.12.2013,41,19638
1988646,Американская история ужасов, The Magical Delights of Stevie Nicks,3,10,136639,56.37,4.545,3884,50 мин.,08.01.2014,104,19638
1995086,Американская история ужасов, Protect the Coven,3,11,136205,56.19,4.533,3859,50 мин.,15.01.2014,47,19638
2004533,Американская история ужасов, Go to Hell,3,12,135836,56.04,4.615,3907,50 мин.,22.01.2014,37,19638
2004534,Американская история ужасов, The Seven Wonders,3,13,135674,55.97,4.577,4142,50 мин.,29.01.2014,173,19638
