2312819,Inquisition, Cathars and Templars,1,1,22,73.33,4.4,0,43 мин.,16.07.2014,0
2312820,Inquisition, Spanish Inquisition,1,2,19,63.33,4.25,0,43 мин.,23.07.2014,0
2312821,Inquisition, Tudor Heretics,1,3,18,60.0,4.25,0,43 мин.,30.07.2014,0
2312822,Inquisition, Witch Hunts,1,4,17,56.67,4.0,0,43 мин.,06.08.2014,0
2312823,Бесконечная любовь, Episode 14,1,14,19,21.84,1.0,0,66 мин.,03.08.2014,0
2312824,Бесконечная любовь, Episode 15,1,15,19,21.84,1.0,0,66 мин.,09.08.2014,0
2312825,Бесконечная любовь, Episode 16,1,16,19,21.84,1.0,0,66 мин.,10.08.2014,0
2312826,Бесконечная любовь, Episode 17,1,17,18,20.69,1.0,0,66 мин.,16.08.2014,0
2312827,Бесконечная любовь, Episode 18,1,18,18,20.69,1.0,0,66 мин.,17.08.2014,0
2312828,Бесконечная любовь, Episode 19,1,19,17,19.54,1.0,0,66 мин.,23.08.2014,0
2312829,Бесконечная любовь, Episode 20,1,20,17,19.54,1.0,0,66 мин.,24.08.2014,0
2312830,Сад матери," Season 1, Episode 90",1,90,6,33.33,0,0,30 мин.,28.07.2014,0
2312831,Сад матери," Season 1, Episode 91",1,91,6,33.33,0,0,30 мин.,29.07.2014,0
2312832,Сад матери," Season 1, Episode 92",1,92,6,33.33,0,0,30 мин.,30.07.2014,0
2312833,Сад матери," Season 1, Episode 93",1,93,6,33.33,0,0,30 мин.,31.07.2014,0
2312834,Сад матери," Season 1, Episode 94",1,94,6,33.33,0,0,30 мин.,01.08.2014,0
2312835,Сад матери," Season 1, Episode 95",1,95,6,33.33,0,0,30 мин.,04.08.2014,0
2312836,Сад матери," Season 1, Episode 96",1,96,6,33.33,0,0,30 мин.,05.08.2014,0
2312837,Сад матери," Season 1, Episode 97",1,97,6,33.33,0,0,30 мин.,06.08.2014,0
2312838,Сад матери," Season 1, Episode 98",1,98,6,33.33,0,0,30 мин.,07.08.2014,0
2312839,Сад матери," Season 1, Episode 99",1,99,6,33.33,0,0,30 мин.,08.08.2014,0
