show_id,title,original_title,status,auditory,rating_myshows,rating_count,rating_kinopoisk,kinopoisk_count,rating_imdb,imdb_count,country,genre,channel,total_length,episode_length,dates,actors,seasons,episodes_in_season
2466,Фантастические дети,Fantastic Children,Отменен/Закончен,73,3.69,29,6.741,110,7.4,222,['Япония'],"['Боевик', ' Приключения', ' Аниме', ' Фэнтези']",TV Tokyo,10 часов 50 минут,25 мин.,04.10.2004 — 28.03.2005,,1,['26']
2467,Невероятный Халк,The Incredible Hulk,Отменен/Закончен,141,3.13,47,6.104,671,7.0,14109,['США'],"['Фэнтези', ' Боевик', ' Фантастика']",CBS,2 дня 17 часов 9 минут,43 мин.,04.11.1977 — 18.02.1990,"['Lou Ferrigno', 'Bill Bixby', 'Jack Colvin']",5,"['12', '23', '23', '18', '10']"
2468,Охотники за сновидениями,Sleepwalkers,Отменен/Закончен,146,3.96,54,6.452,249,6.0,159,['США'],['Фантастика'],NBC,6 часов 27 минут,43 мин.,01.11.1997 — 31.05.1998,['Bruce Greenwood'],1,['9']
2469,Сильное лекарство,Strong Medicine,Отменен/Закончен,216,3.89,54,7.367,400,6.6,1195,['США'],"['Медицинский', ' Драма']",Lifetime,3 дня 22 часа 36 минут,43 мин.,23.07.2000 — 05.02.2006,"['Rosa Blasi', 'Jenifer Lewis', 'Josh Coxx', 'Janine Turner', 'Brennan Elliott', 'Philip Casnoff', 'Ashley Tisdale']",6,"['22', '22', '22', '22', '22', '22']"
2470,Спецгруппа,Cold Squad,Отменен/Закончен,31,4.17,6,,,6.9,584,['Канада'],"['Драма', ' Криминал']",CTV,2 дня 22 часа 14 минут,43 мин.,23.01.1998 — 04.06.2005,"['Julie Stewart', 'Garry Chalk', 'Tamara Craig Thomas', 'Gregory Calpakis', 'Joely Collins', 'Jay Brazeau', 'Matthew Bennett', 'Stephen McHattie', 'Michael Hogan', 'Joy Tanner', 'Paul Coeur', 'Hiro Kanagawa', 'Linda Ko', 'Peter Wingfield', 'Bob Frazer', 'Lori Ann Triolo', 'Paul Boretski', 'Richard Ian Cox', 'Sharon Alexander', 'Allan Lysell', 'Sonja Bennett', 'Tahmoh Penikett', 'Jerry Wasserman', 'Eli Gabay']",7,"['11', '15', '13', '20', '13', '13', '13']"
2471,Женская бригада,The Division,Отменен/Закончен,100,3.6,25,6.199,247,6.6,540,['США'],"['Криминал', ' Драма']",Lifetime,2 дня 15 часов 4 минуты,43 мин.,07.01.2001 — 28.06.2004,"['Bonnie Bedelia', 'Nancy McKeon', 'Lisa Vidal', 'Tracey Needham', 'Taraji P. Henson', 'Jon Hamm']",4,"['22', '22', '22', '22']"
2472,Конан,Conan (1997),Отменен/Закончен,441,3.14,257,5.34,2201,5.0,1404,['США'],"['Приключения', ' Боевик', ' Драма']",Syndicated,15 часов 46 минут,43 мин.,27.09.1997 — 29.05.1998,"['Ralf Moeller', 'Danny Woodburn', 'Robert McRay', 'Jeremy Kemp', 'T.J. Storm', 'A.C. Quart-Hadosht', 'Aly Dunne']",1,['22']
2473,Для Андромеды,"""A"" for Andromeda (2006)",Отменен/Закончен,154,3.4,40,5.752,429,5.2,701,['Великобритания'],"['Драма', ' Фантастика']",BBC Four,1 час 30 минут,90 мин.,27.03.2006 — ...,,1,['1']
2476,Это все еда,The F Word,Отменен/Закончен,162,4.23,52,6.914,170,6.9,1662,['Великобритания'],['Еда'],Channel 4,1 день 13 часов 16 минут,43 мин.,27.10.2005 — 07.01.2010,['Gordon Ramsay'],5,"['9', '9', '10', '12', '12']"
2477,Опять и снова,Once and Again,Отменен/Закончен,212,3.61,56,7.5,260,7.8,2815,['США'],"['Драма', ' Романтика', ' Семейный']",ABC,1 день 21 час 9 минут,43 мин.,21.09.1999 — 15.04.2002,"['Sela Ward', 'Billy Campbell', 'Julia Whelan', 'Meredith Deane', 'Evan Rachel Wood', 'Marin Hinkle', 'Shane West', 'Susanna Thompson', 'Jeffrey Nordling', 'Ever Carradine', 'Steven Weber']",3,"['22', '22', '19']"
